2015년_ [교양과목 성적평가 분포_(대학)_],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준년도,학교명,학기,교양과목 성적인정 총학생수,만점평점,등급(평점)별 학생수 및 비율,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A+,,A0,,A-,,B+,,B0,,B-,,C+,,C0,,C-,,D+,,D0,,D-,,F,
,,,,,학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%)
2014,가야대학교 _본교,1학기,"6,888",4.5,"1,059",15.4,937,13.6,0,0,"1,549",22.5,934,13.6,0,0,"1,187",17.2,507,7.4,0,0,182,2.6,125,1.8,0,0,408,5.9
2014,가야대학교 _본교,2학기,"5,895",4.5,961,16.3,722,12.2,0,0,"1,278",21.7,812,13.8,0,0,952,16.1,482,8.2,0,0,126,2.1,116,2,0,0,446,7.6
2014,가천대학교 _본교,1학기,"51,410",4.5,"7,273",14.1,"5,752",11.2,0,0,"13,300",25.9,"5,114",9.9,0,0,"10,535",20.5,"3,485",6.8,0,0,"2,288",4.5,"1,230",2.4,0,0,"2,433",4.7
2014,가천대학교 _본교,2학기,"46,840",4.5,"7,705",16.4,"4,970",10.6,0,0,"12,780",27.3,"4,243",9.1,0,0,"9,699",20.7,"2,864",6.1,0,0,"1,801",3.8,"1,067",2.3,0,0,"1,711",3.7
2014,가톨릭관동대학교 _본교,1학기,"28,817",4.5,"5,051",17.5,"3,374",11.7,0,0,"7,904",27.4,"3,521",12.2,0,0,"5,295",18.4,"1,983",6.9,0,0,517,1.8,463,1.6,0,0,709,2.5
2014,가톨릭관동대학교 _본교,2학기,"22,921",4.5,"3,648",15.9,"2,701",11.8,0,0,"5,339",23.3,"2,784",12.1,0,0,"3,440",15,"1,877",8.2,0,0,819,3.6,768,3.4,0,0,"1,545",6.7
2014,가톨릭대학교 _본교,1학기,"20,167",4.5,"4,018",19.9,"1,756",8.7,0,0,"6,354",31.5,"1,496",7.4,0,0,"4,345",21.5,969,4.8,0,0,298,1.5,227,1.1,0,0,704,3.5
2014,가톨릭대학교 _본교,2학기,"17,490",4.5,"3,580",20.5,"1,411",8.1,0,0,"5,673",32.4,"1,239",7.1,0,0,"3,672",21,821,4.7,0,0,274,1.6,222,1.3,0,0,598,3.4
2014,가톨릭대학교 _제2캠퍼스,1학기,630,4.5,158,25.1,150,23.8,0,0,130,20.6,85,13.5,0,0,59,9.4,48,7.6,0,0,0,0,0,0,0,0,0,0
2014,가톨릭대학교 _제2캠퍼스,2학기,344,4.5,56,16.3,92,26.7,0,0,76,22.1,41,11.9,0,0,29,8.4,50,14.5,0,0,0,0,0,0,0,0,0,0
2014,가톨릭대학교 _제3캠퍼스,1학기,399,4.5,132,33.1,79,19.8,0,0,67,16.8,21,5.3,0,0,55,13.8,31,7.8,0,0,5,1.3,8,2,0,0,1,0.3
2014,가톨릭대학교 _제3캠퍼스,2학기,396,4.5,143,36.1,77,19.4,0,0,73,18.4,34,8.6,0,0,24,6.1,12,3,0,0,12,3,15,3.8,0,0,6,1.5
2014,감리교신학대학교 _본교,1학기,"1,993",4,287,14.4,192,9.6,91,4.6,519,26,369,18.5,142,7.1,120,6,83,4.2,43,2.2,24,1.2,19,1,27,1.4,77,3.9
2014,감리교신학대학교 _본교,2학기,"1,851",4,200,10.8,207,11.2,123,6.6,537,29,291,15.7,132,7.1,106,5.7,85,4.6,52,2.8,33,1.8,13,0.7,30,1.6,42,2.3
2014,강남대학교 _본교,1학기,"16,153",4.5,"2,540",15.7,"1,573",9.7,0,0,"4,088",25.3,"1,865",11.5,0,0,"3,036",18.8,"1,155",7.2,0,0,436,2.7,359,2.2,0,0,"1,101",6.8
2014,강남대학교 _본교,2학기,"13,694",4.5,"1,959",14.3,"1,443",10.5,0,0,"3,467",25.3,"1,633",11.9,0,0,"2,587",18.9,"1,027",7.5,0,0,269,2,414,3,0,0,895,6.5
2014,강릉원주대학교 _본교,1학기,"12,010",4.5,"2,310",19.2,"1,187",9.9,0,0,"3,243",27,"1,374",11.4,0,0,"2,115",17.6,644,5.4,0,0,244,2,120,1,0,0,773,6.4
2014,강릉원주대학교 _본교,2학기,"11,305",4.5,"2,230",19.7,"1,077",9.5,0,0,"3,116",27.6,"1,201",10.6,0,0,"2,128",18.8,700,6.2,0,0,168,1.5,100,0.9,0,0,585,5.2
2014,강릉원주대학교 _제2캠퍼스,1학기,"4,649",4.5,960,20.6,391,8.4,0,0,"1,378",29.6,433,9.3,0,0,966,20.8,282,6.1,0,0,46,1,14,0.3,0,0,179,3.9
2014,강릉원주대학교 _제2캠퍼스,2학기,"3,700",4.5,779,21.1,299,8.1,0,0,"1,081",29.2,348,9.4,0,0,771,20.8,255,6.9,0,0,39,1.1,23,0.6,0,0,105,2.8
2014,강원대학교 _본교,1학기,"30,986",4.5,"5,843",18.9,"3,770",12.2,0,0,"7,532",24.3,"3,757",12.1,0,0,"5,290",17.1,"2,045",6.6,0,0,769,2.5,505,1.6,0,0,"1,475",4.8
2014,강원대학교 _본교,2학기,"27,401",4.5,"5,455",19.9,"3,372",12.3,0,0,"6,806",24.8,"3,199",11.7,0,0,"4,724",17.2,"1,697",6.2,0,0,681,2.5,465,1.7,0,0,"1,002",3.7
2014,강원대학교 _제2캠퍼스,1학기,"12,148",4.5,"1,964",16.2,"1,193",9.8,0,0,"2,744",22.6,"1,574",13,0,0,"2,111",17.4,"1,024",8.4,0,0,412,3.4,357,2.9,0,0,769,6.3
2014,강원대학교 _제2캠퍼스,2학기,"11,161",4.5,"1,933",17.3,"1,136",10.2,0,0,"2,854",25.6,"1,278",11.5,0,0,"1,911",17.1,958,8.6,0,0,360,3.2,267,2.4,0,0,464,4.2
2014,건국대학교 _본교,1학기,"40,658",4.5,"8,155",20.1,"4,899",12,0,0,"10,342",25.4,"4,391",10.8,0,0,"7,236",17.8,"2,308",5.7,0,0,"1,113",2.7,648,1.6,0,0,"1,566",3.9
2014,건국대학교 _본교,2학기,"35,861",4.5,"7,114",19.8,"4,421",12.3,0,0,"9,248",25.8,"3,724",10.4,0,0,"6,725",18.8,"2,118",5.9,0,0,906,2.5,533,1.5,0,0,"1,072",3
2014,건국대학교(글로컬) _분교,1학기,"15,602",4.5,"3,671",23.5,"1,602",10.3,0,0,"4,101",26.3,"1,436",9.2,0,0,"3,046",19.5,600,3.8,0,0,258,1.7,233,1.5,0,0,655,4.2
2014,건국대학교(글로컬) _분교,2학기,"15,826",4.5,"3,764",23.8,"1,630",10.3,0,0,"4,413",27.9,"1,320",8.3,0,0,"3,129",19.8,632,4,0,0,248,1.6,192,1.2,0,0,498,3.1
2014,건양대학교 _본교,1학기,"14,637",4.5,"2,692",18.4,"1,456",9.9,0,0,"4,194",28.7,"1,493",10.2,0,0,"2,967",20.3,840,5.7,0,0,332,2.3,215,1.5,0,0,448,3.1
2014,건양대학교 _본교,2학기,"13,708",4.5,"2,432",17.7,"1,327",9.7,0,0,"4,026",29.4,"1,419",10.4,0,0,"2,560",18.7,861,6.3,0,0,342,2.5,255,1.9,0,0,486,3.5
2014,건양대학교 _제2캠퍼스,1학기,"4,013",4.5,743,18.5,494,12.3,0,0,"1,166",29.1,498,12.4,0,0,756,18.8,255,6.4,0,0,56,1.4,25,0.6,0,0,20,0.5
2014,건양대학교 _제2캠퍼스,2학기,"2,950",4.5,512,17.4,306,10.4,0,0,889,30.1,363,12.3,0,0,566,19.2,178,6,0,0,66,2.2,47,1.6,0,0,23,0.8
2014,건양사이버대학교 _본교,1학기,"1,590",4.5,421,26.5,188,11.8,0,0,474,29.8,175,11,0,0,272,17.1,8,0.5,0,0,2,0.1,1,0.1,0,0,49,3.1
2014,건양사이버대학교 _본교,2학기,"1,961",4.5,570,29.1,195,9.9,0,0,615,31.4,176,9,0,0,367,18.7,7,0.4,0,0,0,0,0,0,0,0,31,1.6
2014,경기대학교 _본교,1학기,"33,938",4.5,"4,891",14.4,"1,734",5.1,0,0,"9,339",27.5,"2,307",6.8,0,0,"9,852",29,"2,566",7.6,0,0,"1,270",3.7,481,1.4,0,0,"1,498",4.4
2014,경기대학교 _본교,2학기,"31,902",4.5,"4,161",13,"2,112",6.6,0,0,"8,702",27.3,"2,327",7.3,0,0,"8,779",27.5,"3,079",9.7,0,0,"1,158",3.6,615,1.9,0,0,969,3
2014,경기대학교 _제2캠퍼스,1학기,"6,464",4.5,924,14.3,327,5.1,0,0,"1,740",26.9,393,6.1,0,0,"1,922",29.7,442,6.8,0,0,202,3.1,93,1.4,0,0,421,6.5
2014,경기대학교 _제2캠퍼스,2학기,"5,955",4.5,809,13.6,351,5.9,0,0,"1,571",26.4,386,6.5,0,0,"1,598",26.8,604,10.1,0,0,196,3.3,137,2.3,0,0,303,5.1
2014,경남과학기술대학교 _본교,1학기,"7,155",4.5,"1,265",17.7,608,8.5,0,0,"1,914",26.8,703,9.8,0,0,"1,520",21.2,537,7.5,0,0,147,2.1,120,1.7,0,0,341,4.8
2014,경남과학기술대학교 _본교,2학기,"4,972",4.5,931,18.7,398,8,0,0,"1,373",27.6,459,9.2,0,0,"1,061",21.3,386,7.8,0,0,91,1.8,51,1,0,0,222,4.5
2014,경남대학교 _본교,1학기,"32,249",4.5,"6,208",19.3,"2,553",7.9,0,0,"8,482",26.3,"3,066",9.5,0,0,"5,830",18.1,"2,322",7.2,0,0,879,2.7,744,2.3,0,0,"2,165",6.7
2014,경남대학교 _본교,2학기,"29,535",4.5,"4,910",16.6,"1,968",6.7,0,0,"7,471",25.3,"2,406",8.1,0,0,"6,883",23.3,"2,505",8.5,0,0,801,2.7,671,2.3,0,0,"1,920",6.5
2014,경동대학교 _본교,1학기,"8,557",4.5,934,10.9,803,9.4,0,0,"1,686",19.7,"1,281",15,0,0,"1,549",18.1,"1,087",12.7,0,0,446,5.2,286,3.3,0,0,485,5.7
2014,경동대학교 _본교,2학기,"7,898",4.5,"1,374",17.4,699,8.9,0,0,"1,417",17.9,"1,044",13.2,0,0,"1,230",15.6,860,10.9,0,0,335,4.2,229,2.9,0,0,710,9
2014,경동대학교 _제2캠퍼스,1학기,783,4.5,68,8.7,72,9.2,0,0,132,16.9,125,16,0,0,167,21.3,111,14.2,0,0,44,5.6,21,2.7,0,0,43,5.5
2014,경동대학교 _제2캠퍼스,2학기,890,4.5,217,24.4,72,8.1,0,0,135,15.2,96,10.8,0,0,132,14.8,91,10.2,0,0,34,3.8,40,4.5,0,0,73,8.2
2014,경동대학교 _제3캠퍼스,1학기,"3,527",4.5,387,11,330,9.4,0,0,763,21.6,451,12.8,0,0,754,21.4,440,12.5,0,0,280,7.9,107,3,0,0,15,0.4
2014,경동대학교 _제3캠퍼스,2학기,"3,205",4.5,703,21.9,242,7.6,0,0,600,18.7,405,12.6,0,0,552,17.2,364,11.4,0,0,199,6.2,104,3.2,0,0,36,1.1
2014,경동대학교 _제4캠퍼스,1학기,"1,207",4.5,109,9,117,9.7,0,0,221,18.3,206,17.1,0,0,243,20.1,164,13.6,0,0,66,5.5,20,1.7,0,0,61,5.1
2014,경동대학교 _제4캠퍼스,2학기,"1,127",4.5,111,9.8,108,9.6,0,0,187,16.6,204,18.1,0,0,188,16.7,176,15.6,0,0,56,5,24,2.1,0,0,73,6.5
2014,경북대학교 _본교,1학기,"45,474",4.3,"7,965",17.5,"4,634",10.2,"2,499",5.5,"12,390",27.2,"4,290",9.4,"1,998",4.4,"6,531",14.4,"1,837",4,868,1.9,404,0.9,135,0.3,136,0.3,"1,787",3.9
2014,경북대학교 _본교,2학기,"42,093",4.3,"8,037",19.1,"3,941",9.4,"1,947",4.6,"11,866",28.2,"3,666",8.7,"1,718",4.1,"6,147",14.6,"1,853",4.4,"1,005",2.4,329,0.8,144,0.3,71,0.2,"1,369",3.3
2014,경상대학교 _본교,1학기,"35,624",4.5,"7,598",21.3,"4,440",12.5,0,0,"8,945",25.1,"3,387",9.5,0,0,"6,884",19.3,"2,498",7,0,0,494,1.4,292,0.8,0,0,"1,086",3
2014,경상대학교 _본교,2학기,"33,181",4.5,"7,061",21.3,"3,634",11,0,0,"8,777",26.5,"2,902",8.7,0,0,"6,789",20.5,"2,131",6.4,0,0,523,1.6,286,0.9,0,0,"1,078",3.2
2014,경성대학교 _본교,1학기,"36,329",4.5,"4,943",13.6,"2,354",6.5,0,0,"10,505",28.9,"4,669",12.9,0,0,"5,856",16.1,"2,627",7.2,0,0,"1,530",4.2,"1,101",3,0,0,"2,744",7.6
2014,경성대학교 _본교,2학기,"34,343",4.5,"4,953",14.4,"2,084",6.1,0,0,"10,453",30.4,"3,980",11.6,0,0,"6,089",17.7,"2,179",6.3,0,0,"1,667",4.9,"1,050",3.1,0,0,"1,888",5.5
2014,경운대학교 _본교,1학기,"9,113",4.5,"1,102",12.1,800,8.8,0,0,"2,100",23,"1,325",14.5,0,0,"2,268",24.9,866,9.5,0,0,237,2.6,184,2,0,0,231,2.5
2014,경운대학교 _본교,2학기,"8,261",4.5,"1,019",12.3,736,8.9,0,0,"2,003",24.2,"1,063",12.9,0,0,"2,045",24.8,820,9.9,0,0,171,2.1,164,2,0,0,240,2.9
2014,경운대학교(산업대) _본교(폐교),1학기,"1,773",4.5,328,18.5,194,10.9,0,0,438,24.7,195,11,0,0,387,21.8,121,6.8,0,0,36,2,29,1.6,0,0,45,2.5
2014,경운대학교(산업대) _본교(폐교),2학기,"2,079",4.5,320,15.4,205,9.9,0,0,577,27.8,240,11.5,0,0,460,22.1,149,7.2,0,0,38,1.8,41,2,0,0,49,2.4
2014,경인교육대학교 _본교,1학기,"5,100",4.5,513,10.1,680,13.3,0,0,"1,219",23.9,"1,235",24.2,0,0,997,19.5,211,4.1,0,0,70,1.4,41,0.8,0,0,134,2.6
2014,경인교육대학교 _본교,2학기,"4,976",4.5,502,10.1,636,12.8,0,0,"1,150",23.1,"1,222",24.6,0,0,"1,045",21,227,4.6,0,0,76,1.5,52,1,0,0,66,1.3
2014,경인교육대학교 _제2캠퍼스,1학기,465,4.5,48,10.3,65,14,0,0,98,21.1,116,24.9,0,0,124,26.7,5,1.1,0,0,4,0.9,3,0.6,0,0,2,0.4
2014,경인교육대학교 _제2캠퍼스,2학기,414,4.5,42,10.1,47,11.4,0,0,89,21.5,107,25.8,0,0,111,26.8,10,2.4,0,0,3,0.7,2,0.5,0,0,3,0.7
2014,경일대학교 _본교,1학기,"17,355",4.5,"2,072",11.9,"2,921",16.8,0,0,"4,196",24.2,"2,251",13,0,0,"2,430",14,"1,150",6.6,0,0,362,2.1,376,2.2,0,0,"1,597",9.2
2014,경일대학교 _본교,2학기,"14,861",4.5,"2,434",16.4,"1,537",10.3,0,0,"3,771",25.4,"1,770",11.9,0,0,"2,364",15.9,"1,103",7.4,0,0,317,2.1,314,2.1,0,0,"1,251",8.4
2014,경주대학교 _본교,1학기,"4,691",4.5,560,11.9,277,5.9,0,0,"1,334",28.4,494,10.5,0,0,899,19.2,476,10.1,0,0,120,2.6,113,2.4,0,0,418,8.9
2014,경주대학교 _본교,2학기,"4,173",4.5,479,11.5,213,5.1,0,0,"1,233",29.5,473,11.3,0,0,780,18.7,436,10.4,0,0,137,3.3,107,2.6,0,0,315,7.5
2014,경희대학교 _본교,1학기,"52,042",4.3,"10,920",21,"6,082",11.7,"3,836",7.4,"3,602",6.9,"14,603",28.1,"4,068",7.8,"2,368",4.6,"1,477",2.8,851,1.6,456,0.9,450,0.9,293,0.6,"3,036",5.8
2014,경희대학교 _본교,2학기,"46,917",4.3,"9,621",20.5,"5,600",11.9,"3,600",7.7,"3,542",7.5,"11,626",24.8,"3,810",8.1,"2,580",5.5,"1,553",3.3,997,2.1,541,1.2,538,1.1,382,0.8,"2,527",5.4
2014,경희사이버대학교 _본교,1학기,"10,910",4.3,"1,764",16.2,958,8.8,703,6.4,"2,258",20.7,885,8.1,376,3.4,"1,427",13.1,580,5.3,354,3.2,260,2.4,145,1.3,147,1.3,"1,053",9.7
2014,경희사이버대학교 _본교,2학기,"10,191",4.3,"1,628",16,875,8.6,661,6.5,"2,136",21,720,7.1,364,3.6,"1,474",14.5,543,5.3,272,2.7,356,3.5,268,2.6,93,0.9,801,7.9
2014,계명대학교 _본교,1학기,"38,858",4.5,"7,774",20,"3,985",10.3,0,0,"9,425",24.3,"3,445",8.9,0,0,"8,369",21.5,"2,883",7.4,0,0,882,2.3,474,1.2,0,0,"1,621",4.2
2014,계명대학교 _본교,2학기,"36,681",4.5,"7,782",21.2,"3,608",9.8,0,0,"9,215",25.1,"3,014",8.2,0,0,"7,965",21.7,"2,531",6.9,0,0,765,2.1,387,1.1,0,0,"1,414",3.9
2014,고려대학교 _본교,1학기,"51,270",4.5,"11,316",22.1,"7,468",14.6,0,0,"13,383",26.1,"5,246",10.2,0,0,"7,232",14.1,"2,472",4.8,0,0,"1,038",2,904,1.8,0,0,"2,211",4.3
2014,고려대학교 _본교,2학기,"44,593",4.5,"10,409",23.3,"6,529",14.6,0,0,"11,805",26.5,"4,091",9.2,0,0,"6,655",14.9,"2,087",4.7,0,0,760,1.7,651,1.5,0,0,"1,606",3.6
2014,고려대학교(세종) _분교,1학기,"22,947",4.5,"5,188",22.6,"2,717",11.8,0,0,"6,151",26.8,"2,434",10.6,0,0,"3,354",14.6,"1,209",5.3,0,0,408,1.8,339,1.5,0,0,"1,147",5
2014,고려대학교(세종) _분교,2학기,"20,596",4.5,"4,625",22.5,"2,400",11.7,0,0,"5,643",27.4,"2,113",10.3,0,0,"3,142",15.3,"1,096",5.3,0,0,389,1.9,344,1.7,0,0,844,4.1
2014,고려사이버대학교 _본교,1학기,"6,837",4.5,"1,180",17.3,741,10.8,0,0,"1,802",26.4,990,14.5,0,0,"1,045",15.3,512,7.5,0,0,108,1.6,56,0.8,0,0,403,5.9
2014,고려사이버대학교 _본교,2학기,"5,952",4.5,"1,043",17.5,665,11.2,0,0,"1,638",27.5,763,12.8,0,0,944,15.9,337,5.7,0,0,128,2.2,145,2.4,0,0,289,4.9
2014,고려사이버대학교 _본교,3학기,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,고려사이버대학교 _본교,4학기,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,고신대학교 _본교,1학기,"12,276",4.5,"1,762",14.4,"1,514",12.3,0,0,"2,895",23.6,"1,717",14,0,0,"1,876",15.3,862,7,0,0,386,3.1,384,3.1,0,0,880,7.2
2014,고신대학교 _본교,2학기,"10,670",4.5,"1,747",16.4,"1,162",10.9,0,0,"2,705",25.4,"1,321",12.4,0,0,"1,868",17.5,779,7.3,0,0,254,2.4,241,2.3,0,0,593,5.6
2014,공주교육대학교 _본교,1학기,"3,649",4.5,522,14.3,445,12.2,0,0,985,27,454,12.4,0,0,868,23.8,218,6,0,0,81,2.2,36,1,0,0,40,1.1
2014,공주교육대학교 _본교,2학기,"3,667",4.5,609,16.6,381,10.4,0,0,"1,078",29.4,393,10.7,0,0,897,24.5,222,6.1,0,0,43,1.2,22,0.6,0,0,22,0.6
2014,공주대학교 _본교,1학기,"18,986",4.5,"3,793",20,"1,716",9,0,0,"5,753",30.3,"1,539",8.1,0,0,"3,989",21,857,4.5,0,0,257,1.4,227,1.2,0,0,855,4.5
2014,공주대학교 _본교,2학기,"16,515",4.5,"3,655",22.1,"1,462",8.9,0,0,"4,952",30,"1,175",7.1,0,0,"3,567",21.6,638,3.9,0,0,192,1.2,187,1.1,0,0,687,4.2
2014,광신대학교 _본교,1학기,"1,336",4.5,137,10.3,226,16.9,0,0,392,29.3,226,16.9,0,0,109,8.2,64,4.8,0,0,36,2.7,55,4.1,0,0,91,6.8
2014,광신대학교 _본교,2학기,"1,207",4.5,132,10.9,193,16,0,0,308,25.5,175,14.5,0,0,158,13.1,94,7.8,0,0,32,2.7,35,2.9,0,0,80,6.6
2014,광운대학교 _본교,1학기,"22,036",4.5,"4,961",22.5,"2,686",12.2,0,0,"5,477",24.9,"2,290",10.4,0,0,"3,160",14.3,"1,076",4.9,0,0,570,2.6,384,1.7,0,0,"1,432",6.5
2014,광운대학교 _본교,2학기,"21,760",4.5,"5,183",23.8,"2,838",13,0,0,"5,370",24.7,"2,281",10.5,0,0,"3,179",14.6,"1,137",5.2,0,0,462,2.1,319,1.5,0,0,991,4.6
2014,광주가톨릭대학교 _본교,1학기,231,4.5,54,23.4,45,19.5,0,0,48,20.8,32,13.9,0,0,31,13.4,14,6.1,0,0,6,2.6,1,0.4,0,0,0,0
2014,광주가톨릭대학교 _본교,2학기,211,4.5,50,23.7,49,23.2,0,0,48,22.7,26,12.3,0,0,18,8.5,8,3.8,0,0,4,1.9,8,3.8,0,0,0,0
2014,광주과학기술원 _본교,1학기,"2,145",4.5,364,17,337,15.7,0,0,518,24.1,360,16.8,0,0,300,14,168,7.8,0,0,22,1,37,1.7,0,0,39,1.8
2014,광주과학기술원 _본교,2학기,"2,097",4.5,312,14.9,359,17.1,0,0,459,21.9,391,18.6,0,0,261,12.4,171,8.2,0,0,54,2.6,35,1.7,0,0,55,2.6
2014,광주교육대학교 _본교,1학기,"3,235",4.5,422,13,300,9.3,181,5.6,924,28.6,413,12.8,285,8.8,478,14.8,114,3.5,44,1.4,24,0.7,10,0.3,8,0.2,32,1
2014,광주교육대학교 _본교,2학기,"3,174",4.5,452,14.2,295,9.3,139,4.4,947,29.8,409,12.9,247,7.8,456,14.4,124,3.9,48,1.5,13,0.4,13,0.4,12,0.4,19,0.6
2014,광주대학교 _본교,1학기,"12,141",4.5,"1,792",14.8,"1,132",9.3,0,0,"2,780",22.9,"1,148",9.5,0,0,"2,691",22.2,970,8,0,0,417,3.4,401,3.3,0,0,810,6.7
2014,광주대학교 _본교,2학기,"11,170",4.5,"1,756",15.7,947,8.5,0,0,"2,631",23.6,945,8.5,0,0,"2,522",22.6,940,8.4,0,0,376,3.4,421,3.8,0,0,632,5.7
2014,광주여자대학교 _본교,1학기,"8,323",4.5,930,11.2,434,5.2,244,2.9,"2,176",26.1,868,10.4,684,8.2,"1,479",17.8,462,5.6,404,4.9,183,2.2,85,1,128,1.5,246,3
2014,광주여자대학교 _본교,2학기,238,4.5,34,14.3,18,7.6,2,0.8,71,29.8,28,11.8,17,7.1,37,15.5,11,4.6,10,4.2,0,0,1,0.4,4,1.7,5,2.1
2014,광주여자대학교 _본교,3학기,"8,786",4.5,981,11.2,433,4.9,247,2.8,"2,428",27.6,828,9.4,667,7.6,"1,838",20.9,490,5.6,378,4.3,132,1.5,68,0.8,122,1.4,174,2
2014,광주여자대학교 _본교,4학기,220,4.5,28,12.7,15,6.8,6,2.7,68,30.9,16,7.3,18,8.2,39,17.7,5,2.3,4,1.8,9,4.1,3,1.4,2,0.9,7,3.2
2014,국민대학교 _본교,1학기,"33,623",4.5,"6,462",19.2,"3,500",10.4,0,0,"9,562",28.4,"3,632",10.8,0,0,"6,035",17.9,"1,854",5.5,0,0,511,1.5,459,1.4,0,0,"1,608",4.8
